BRONX,2012,26,39,0.0
BRONX,2012,27,413,0.0
BRONX,2012,28,362,0.008
BRONX,2012,29,355,0.003
BRONX,2012,30,373,0.0
BRONX,2012,31,400,0.0
BRONX,2012,32,391,0.003
BRONX,2012,33,349,0.0
BRONX,2012,34,348,0.009
BRONX,2012,35,366,0.005
BRONX,2012,36,351,0.0
BRONX,2012,37,390,0.0
BRONX,2012,38,360,0.003
BRONX,2012,39,357,0.003
BRONX,2012,40,386,0.0
BRONX,2012,41,362,0.0
BRONX,2012,42,365,0.003
BRONX,2012,43,380,0.005
BRONX,2012,44,251,0.0
BRONX,2012,45,393,0.0
BRONX,2012,46,330,0.0
BRONX,2012,47,326,0.0
BRONX,2012,48,341,0.0
BRONX,2012,49,346,0.0
BRONX,2012,50,389,0.003
BRONX,2012,51,385,0.0
BRONX,2012,52,342,0.003
BRONX,2013,1,345,0.009
BRONX,2013,2,343,0.0
BRONX,2013,3,328,0.0
BRONX,2013,4,341,0.0
BRONX,2013,5,365,0.003
BRONX,2013,6,419,0.0
BRONX,2013,7,388,0.003
BRONX,2013,8,341,0.0
BRONX,2013,9,371,0.003
BRONX,2013,10,453,0.0
BRONX,2013,11,412,0.002
BRONX,2013,12,396,0.0
BRONX,2013,13,330,0.0
BRONX,2013,14,346,0.0
BRONX,2013,15,379,0.0
BRONX,2013,16,399,0.0
BRONX,2013,17,377,0.0
BRONX,2013,18,369,0.0
BRONX,2013,19,388,0.003
BRONX,2013,20,426,0.005
BRONX,2013,21,403,0.002
BRONX,2013,22,433,0.0
BRONX,2013,23,451,0.0
BRONX,2013,24,419,0.007
BRONX,2013,25,375,0.0
BRONX,2013,26,393,0.003
BRONX,2013,27,422,0.0
BRONX,2013,28,404,0.002
BRONX,2013,29,389,0.0
BRONX,2013,30,355,0.003
BRONX,2013,31,411,0.0
BRONX,2013,32,359,0.0
BRONX,2013,33,364,0.0
BRONX,2013,34,372,0.0
BRONX,2013,35,330,0.006
BRONX,2013,36,353,0.003
BRONX,2013,37,396,0.0
BRONX,2013,38,412,0.002
BRONX,2013,39,398,0.0
BRONX,2013,40,372,0.003
BRONX,2013,41,333,0.003
BRONX,2013,42,381,0.0
BRONX,2013,43,356,0.003
BRONX,2013,44,332,0.006
BRONX,2013,45,367,0.008
BRONX,2013,46,393,0.003
BRONX,2013,47,368,0.003
BRONX,2013,48,377,0.0
BRONX,2013,49,356,0.0
BRONX,2013,50,391,0.0
BRONX,2013,51,405,0.002
BRONX,2013,52,326,0.0
