2012,27,4
2012,28,5
2012,29,6
2012,30,1
2012,31,5
2012,32,7
2012,33,1
2012,34,10
2012,35,6
2012,36,1
2012,37,7
2012,38,8
2012,39,9
2012,40,2
2012,41,3
2012,42,8
2012,43,7
2012,44,3
2012,45,2
2012,46,4
2012,47,4
2012,48,2
2012,49,1
2012,50,7
2012,51,6
2012,52,11
2013,1,8
2013,2,3
2013,3,5
2013,4,4
2013,5,9
2013,6,4
2013,7,5
2013,8,6
2013,9,8
2013,10,5
2013,11,6
2013,12,3
2013,13,3
2013,14,6
2013,15,1
2013,16,3
2013,17,3
2013,18,3
2013,19,4
2013,20,6
2013,21,2
2013,22,4
2013,23,3
2013,24,10
2013,25,3
2013,26,5
2013,27,6
2013,28,3
2013,29,2
2013,30,9
2013,31,7
2013,32,7
2013,33,10
2013,34,8
2013,35,5
2013,36,5
2013,37,7
2013,38,5
2013,39,8
2013,40,5
2013,41,6
2013,42,4
2013,43,4
2013,44,6
2013,45,7
2013,46,7
2013,47,6
2013,48,11
2013,49,5
2013,50,6
2013,51,7
2013,52,5
2014,1,8
2014,2,7
2014,3,5
2014,4,3
2014,5,3
2014,6,4
2014,7,3
2014,8,4
2014,9,1
2014,10,5
2014,11,2
2014,12,5
2014,13,5
2014,14,6
2014,15,3
2014,16,3
2014,17,4
2014,18,6
2014,19,6
2014,20,4
2014,21,9
2014,22,3
2014,23,8
2014,24,7
2014,25,3
2014,26,4
2014,27,7
2014,28,4
2014,29,7
2014,30,8
2014,31,7
2014,32,2
2014,33,4
2014,34,3
2014,35,8
2014,36,8
2014,37,4
2014,38,5
2014,39,8
2014,40,3
2014,41,5
2014,42,3
2014,43,5
2014,44,5
2014,45,9
2014,46,5
2014,47,4
2014,48,6
2014,49,4
2014,50,3
2014,51,2
2014,52,2
2015,1,5
2015,2,4
2015,3,4
2015,4,3
2015,5,2
2015,6,2
2015,7,3
2015,8,7
2015,9,5
2015,10,2
2015,11,1
2015,12,5
2015,13,2
2015,14,7
2015,15,2
2015,16,3
2015,17,5
2015,18,4
2015,19,6
2015,20,7
2015,21,5
2015,22,9
2015,23,5
2015,24,3
2015,25,3
2015,26,7
2015,27,6
2015,28,5
2015,29,4
2015,30,3
2015,31,4
2015,32,6
2015,33,3
2015,34,6
2015,35,5
2015,36,2
2015,37,5
2015,38,3
2015,39,4
2015,40,2
2015,41,5
2015,42,9
2015,43,6
2015,44,4
2015,45,7
2015,46,5
2015,47,4
2015,48,5
2015,49,10
2015,50,4
2015,51,6
2015,52,3
2016,1,5
2016,2,6
2016,3,4
2016,4,2
2016,5,3
2016,6,5
2016,7,3
2016,8,6
2016,9,3
2016,10,3
2016,11,2
2016,12,3
2016,14,4
2016,15,3
2016,16,2
2016,17,4
2016,18,3
2016,19,5
2016,20,3
2016,21,2
2016,22,2
2016,23,3
2016,24,10
2016,25,3
2016,26,9
2016,27,3
2016,28,4
2016,29,1
2016,30,2
2016,31,4
2016,32,6
2016,33,3
2016,34,2
2016,35,8
2016,36,2
2016,37,1
2016,38,1
2016,39,2
2016,40,3
2016,41,4
2016,42,3
2016,43,2
2016,44,2
2016,45,2
2016,46,2
2016,48,3
2016,49,4
2016,50,3
2016,51,2
2016,52,6
2017,1,1
